from_node,to_node,why_changed_removed_edges_top,why_changed_added_edges_top
A407,A3216,,
A407,A3217,,
A407,A3218,,
A407,A3219,,
A407,A3220,,
A407,A3220 Addison Crescent,,
A407,A3220 Edith grove,,
A407,A4,,
A407,A4 Hyde Park Corner,,
A407,A4(T),,
A407,A4/A205,,
A407,A40,,
A407,A40(T),,
A407,A400,,
A407,A400/A503,,
A407,A4000,,
A407,A4000 Leamington Park,,
A407,A4000 Station Rd,,
A407,A4000 Wales Farm Rd,,
A407,A4001,,
A407,A4003,,
A407,A4005,,
A407,A4008,,
A407,A401,,
A407,A402,,
A407,A402 Goldhawk Rd,,
A407,A4020,,
A407,A404,,
A407,A404 Craven Park Road,,
A407,A404 Manor Park Road,,
A407,A406,,
A407,A406 spur,,
A407,A406(T),,
A407,A406/A10,,
A407,A408,,
A407,A4088,,
A407,A4088 Neasden Lane North,,
A407,A4089,,
A407,A409,,
A407,A4090,,
A407,A41,,
A407,A41(T),,
A407,A410,,
A407,A411 Barnet Road,,
A407,A4125,,
A407,A4127,,
A407,A4140,,
A407,A4180,,
A407,A4201,,
A407,A4205,,
A407,A4206,,
A407,A437,,
A407,A5,,
A407,A5/A4209,,
A407,A5000,,
A407,A501,,
A407,A501 Pentonville Road,,
A407,A502,,
A407,A502/A503,,
A407,A503,,
A407,A503 Camden Road,,
A407,A503 Seven Sisters/Parkhurst Road,,
A407,A503/A504,,
A407,A504,,
A407,A5100,,
A407,A5150,,
A407,A5200,,
A407,A5201,,
A407,A5202,,
A407,A5203,,
A407,A5204,,
A407,A598,,
A407,Adelaide Rd roundabout,,
A407,Adelaide Road roundabout,,
A407,Aldersbrook Rd,,
A407,Aldwych,,
A407,Also Whitehall Road  coveres this A Junction,,
A407,AlsoWhitehall Road  coveres this A jct,,
A407,Amersham Rd,,
A407,B102,,
A407,B126 Prescot St,,
A407,B155,,
A407,B202,,
A407,B210,,
A407,B2230,,
A407,B274,,
A407,B302,,
A407,B306,,
A407,B363,,
A407,B414,,
A407,B458,,
A407,B467 Harefield Rd,,
A407,B512,,
A407,B540,,
A407,Baker St,,
A407,Barnet Lane,,
A407,Baston Rd,,
A407,Bell Rd,,
A407,Bishopsgate,,
A407,Brixton Rd,,
A407,Camden Park Rd,,
A407,Chalk Farm Road,,
A407,Charing Cross Road,,
A407,Charlton Church Lane,,
A407,Cheyne Walk,,
A407,Church Street,,
A407,"Churchill Way, Biggin Hill",,
A407,City Road,,
A407,Clerkenwell Rd,,
A407,Courtland Avenue,,
A407,Crown Rd,,
A407,Crucifix Lane,,
A407,Delancey St,,
A407,Downs Rd,,
A407,Dreadnought Street,,
A407,Druid St,,
A407,Durham St,,
A407,Earl's Court Rd,,
A407,Elephant And Castle,,
A407,Epsom Rd,,
A407,Euston Rd,,
A407,Farringdon St,,
A407,Ferry Street,,
A407,Fish St Hill,,
A407,Forest Side,,
A407,Francis Rd,,
A407,Gainsborough Rd,,
A407,Gloucester Place,,
A407,Gray's Inn Rd,,
A407,Hampstead Rd,,
A407,Herbert Rd,,
A407,Hillmarton Rd,,
A407,Hobart Place,,
A407,Horse Guards Road,,
A407,Houndsditch,,
A407,Hyde Park Corner,,
A407,Isledon Rd,,
A407,Kentish Town Rd,,
A407,King's Cross Rd,,
A407,LA Boundary,,
A407,LA boundary,,
A407,LABoundary,,
A407,Lower Sunbury Rd,"A3008->Lower Sunbury Rd (risk=0.652, penalty_km=0.498) | A309->A3008 (risk=0.000, penalty_km=0.000) | A310->A309 (risk=0.000, penalty_km=0.000)","A311->A313 (risk=0.000, penalty_km=0.000) | A313->Lower Sunbury Rd (risk=0.000, penalty_km=0.000) | A310->A311 (risk=0.000, penalty_km=0.000)"
A407,M1 main route,,
A407,M1 roundabout,,
A407,M11,,
A407,M25,,
A407,M25 Jct 4,,
A407,M25 Junction 4,,
A407,M4,,
A407,M4 jn2,,
A407,Major Rd,,
A407,Middle Lane,,
A407,Mile End Rd,,
A407,Monument Way/Ferry Lane roundabout,,
A407,Morval Rd roundabout,,
A407,Morval Road roundabout,,
A407,New  Wanstead,,
A407,Newgate St,,
A407,Northumberland Ave,,
A407,Old Marylebone Rd,,
A407,Old Oak Common Lane,,
A407,Orchard St,,
A407,Pall Mall,,
A407,Parkway,,
A407,Pembroke Rd,,
A407,Penton Rise,,
A407,Piccadilly Circus,,
A407,Praed St,,
A407,Procter St,,
A407,Provost Street,,
A407,Quinta Drive,,
A407,Rom Valley Way,,
A407,Royal College St,,
A407,Rye Lane,,
A407,Shaftesbury Ave,,
A407,Snaresbrook Rd,,
A407,St Botolph St roundabout,,
A407,St Bride St,,
A407,St James St,,
A407,Station Rd,,
A407,Steyne Rd/Horn Lane junction,,
A407,Sussex Gdns,,
A407,Swinton St,,
A407,The Highway,,
A407,Tooting Bec Rd,,
A407,Victoria St/Wilton Rd,,
A407,Well St,,
A407,Westbourne Street,,
A407,Weymouth Terrace/LA Boundary,,
A407,Wheatfield Way,,
A407,Whitehall  Road,,
A407,Wilton Rd/Vauxhall Bridge Rd,,
A407,Wood St,,
A407,York St,,
